CUST_ID,anomaly_percent,is_anomaly
C10001,14.722100742473332,0
C10002,11.17549079710147,0
C10003,16.740844129661035,0
C10004,11.133200309095187,0
C10005,16.360996114893204,0
C10006,13.066129764283133,0
C10007,21.69063959375252,0
C10008,15.914205267596406,0
C10009,11.140235379681924,0
C10010,10.858974080027659,0
C10011,15.634434310266846,0
C10012,12.042929475443398,0
C10013,11.355165122302326,0
C10014,8.749887125863735,0
C10015,14.73533152997328,0
C10016,12.632538453410936,0
C10017,10.85607753115449,0
C10018,8.674902938118962,0
C10019,13.02855890256944,0
C10020,21.093140748906578,0
C10021,20.71192175423083,0
C10022,21.318435625400735,0
C10023,14.079600812235965,0
C10024,19.484983830527668,0
C10025,13.146693143106022,0
C10026,16.38014109974714,0
C10027,11.837608613094508,0
C10028,17.843732756459318,0
C10029,15.373027901060984,0
C10030,13.552011169900954,0
C10031,19.6149866853347,0
C10032,12.303368496365374,0
C10033,13.812163737918128,0
C10034,16.812797118084596,0
C10035,28.671368772438743,1
C10036,15.688373757773913,0
C10037,17.832272217447965,0
C10038,7.154065055637031,0
C10039,10.557668257032015,0
C10040,20.987567116873016,0
C10041,10.640934156431134,0
C10043,5.3372536837219275,0
C10044,15.978155891815687,0
C10045,15.824721593768597,0
C10046,14.219303768667901,0
C10047,11.575533697245067,0
C10048,9.230390061080186,0
C10049,14.857968919679346,0
C10050,17.665473185140947,0
C10051,10.90368302273571,0
C10052,18.972673364125505,0
C10053,11.018203018383927,0
C10054,13.675902883342472,0
C10055,7.4996134440168545,0
C10056,11.785383703293133,0
C10057,12.419282245559337,0
C10058,13.143770763258722,0
C10059,12.328780912272313,0
C10060,12.985635774080045,0
C10061,11.286303482882774,0
C10062,9.58953023450697,0
C10063,15.681407471825123,0
C10064,11.315867503250109,0
C10065,17.762152161757356,0
C10067,14.960073865504878,0
C10068,11.446128954215716,0
C10069,13.164295382171684,0
C10070,14.581473551268024,0
C10071,15.093709283810986,0
C10072,12.918685746524664,0
C10073,14.411900501145688,0
C10074,38.655547194102965,1
C10075,12.501833223052266,0
C10077,9.069676203803539,0
C10078,8.394588676879893,0
C10079,15.335108900323476,0
C10080,16.950409706729687,0
C10081,14.39301493052653,0
C10082,20.022797948370837,0
C10083,12.116890711853271,0
